sound,person,word,utter,phoneme,part_word,poa_prev,moa_prev,poa_next,moa_next,f1,f2,time,start,end,duration,ln_f1,ln_f2,norm_f1,norm_f2
T_POKEMAN_total_-75,A,gafwal,u2, a,pref,velar,stop,labial,fricative,578.1545459,1370.136108,588.062922,67.43474097,588.0292046,588.0966393,6.359841213,7.222665363,0.133971213,-0.119744637
T_POKEMAN_total_161,A, akondel,u1,a,pref,none,none,velar,stop,647.1503411,1461.058348,1041.006756,69.39726165,1040.614004,1040.683401,6.472578634,7.286916348,0.246708634,-0.055493652
T_POKEMAN_total_161,A, akondel,u2,a,pref,none,none,velar,stop,691.7204602,1507.595829,1041.758619,66.69615199,1041.360719,1041.427416,6.539181915,7.318271495,0.313311915,-0.024138505
T_POKEMAN_total_161,A, akondel,u3,a,pref,none,none,velar,stop,701.6026914,1603.383657,1042.457863,91.95746465,1042.06293,1042.154887,6.553367277,7.379871461,0.327497277,0.037461461
T_POKEMAN_total_-15,A, ɩbɔmbwa,u1,a,root,labial,glide,none,none,774.4401236,1366.518876,49.13158079,106.8329868,49.07816429,49.18499728,6.652140347,7.220021819,0.426270347,-0.122388181
T_POKEMAN_total_-15,A, ɩbɔmbwa,u2,a,root,labial,glide,none,none,771.5539591,1387.161354,49.98947426,121.4972791,49.92872562,50.0502229,6.64840661,7.235014747,0.42253661,-0.107395253
T_POKEMAN_total_182,A, kabwɩɲansɛ ,u2,a, root ,velar,stop,labial,stop,682.6557412,1494.303416,1192.845207,104.4205455,1192.321461,1192.425882,6.525990693,7.309415435,0.300120693,-0.032994565
T_POKEMAN_total_182,A, kabwɩɲansɛ ,u3,a, root ,velar,stop,labial,stop,650.8076661,1536.604514,1193.691609,118.9965659,1193.1744,1193.293396,6.478214155,7.3373304,0.252344155,-0.0050796
T_POKEMAN_total_-71,A,aba,u1,a,pref ,none,none,labial,stop,829.5603829,1789.299155,543.2681946,66.14370993,543.2351227,543.3012664,6.720895901,7.489579289,0.495025901,0.147169289
T_POKEMAN_total_-71,A,aba,u2,a,pref ,none,none,labial,stop,757.1256293,1438.219737,543.9436581,76.27895123,543.9055187,543.9817976,6.629529196,7.271161334,0.403659196,-0.071248666
T_POKEMAN_total_-71,A,aba,u2,a,root,labial,stop,none,none,739.509112,1345.056754,544.1624214,116.4453392,544.1041987,544.2206441,6.605986604,7.204191487,0.380116604,-0.138218513
T_POKEMAN_total_-71,A,aba,u3,a,pref ,none,none,labial,stop,768.2343947,1456.029725,544.5931038,73.79750453,544.556205,544.6300025,6.644094888,7.283468644,0.418224888,-0.058941356
T_POKEMAN_total_-71,A,aba,u3,a,root,labial,stop,none,none,731.4948903,1408.419287,544.8056084,99.76136247,544.7557277,544.8554891,6.595090235,7.250223281,0.369220235,-0.092186719
T_POKEMAN_total_-71,A,aba,u1,a,pref ,none,none,labial,stop,829.5603829,1789.299155,543.2681946,,,,6.720895901,7.489579289,0.495025901,0.147169289
T_POKEMAN_total_-71,A,aba,u2,a,pref ,none,none,labial,stop,757.1256293,1438.219737,543.9436581,,,,6.629529196,7.271161334,0.403659196,-0.071248666
T_POKEMAN_total_-71,A,aba,u2,a,root,labial,stop,none,none,739.509112,1345.056754,544.1624214,,,,6.605986604,7.204191487,0.380116604,-0.138218513
